Regret,NumWaitingJob,STime_A,STime_B,STime_A_VS_B,STime_A_VS_B_Diff,PTime_A,PTime_B,PTime_A_VS_B,PTime_A_VS_B_Diff,CompTime_A,CompTime_B,CompTime_A_VS_B,CompTime_A_VS_B_Diff,Start_A,Start_B,Start_A_VS_B,Start_A_VS_B_Diff,Tardy_A,Tardy_B,Tardy_A_VS_B,Tardy_A_VS_B_Diff
15,7,66,43,>,23,31,57,<,-26,148,210,<,-62,51,110,<,-59,0,0,=,0
0,7,39,60,<,-21,56,30,>,26,205,141,>,64,110,51,>,59,0,0,=,0
37,7,60,39,>,21,30,56,<,-26,141,205,<,-64,51,110,<,-59,0,0,=,0
0,6,17,49,<,-32,30,56,<,-26,157,234,<,-77,110,129,<,-19,0,42,<,-42
302,6,49,17,>,32,56,30,>,26,234,157,>,77,129,110,>,19,42,0,>,42
0,6,42,87,<,-45,44,57,<,-13,215,254,<,-39,129,110,>,19,53,92,<,-39
132,6,87,42,>,45,57,44,>,13,254,215,>,39,110,129,<,-19,92,53,>,39
0,6,16,50,<,-34,42,41,>,1,187,201,<,-14,129,110,>,19,0,0,=,0
70,6,50,16,>,34,41,42,<,-1,201,187,>,14,110,129,<,-19,0,0,=,0
0,6,88,86,>,2,36,48,<,-12,253,244,>,9,129,110,>,19,29,20,>,9
21,6,86,88,<,-2,48,36,>,12,244,253,<,-9,110,129,<,-19,20,29,<,-9
0,6,52,39,>,13,30,56,<,-26,211,205,>,6,129,110,>,19,0,0,=,0
60,6,39,52,<,-13,56,30,>,26,205,211,<,-6,110,129,<,-19,0,0,=,0
0,6,12,43,<,-31,31,57,<,-26,172,210,<,-38,129,110,>,19,0,0,=,0
206,6,43,12,>,31,57,31,>,26,210,172,>,38,110,129,<,-19,0,0,=,0
0,5,12,49,<,-37,31,57,<,-26,172,263,<,-91,129,157,<,-28,0,45,<,-45
145,5,49,12,>,37,57,31,>,26,263,172,>,91,157,129,>,28,45,0,>,45
0,5,15,16,<,-1,41,42,<,-1,213,187,>,26,157,129,>,28,0,0,=,0
74,5,16,15,>,1,42,41,>,1,187,213,<,-26,129,157,<,-28,0,0,=,0
0,5,45,42,>,3,57,44,>,13,259,215,>,44,157,129,>,28,97,53,>,44
31,5,42,45,<,-3,44,57,<,-13,215,259,<,-44,129,157,<,-28,53,97,<,-44
0,5,10,52,<,-42,56,30,>,26,223,211,>,12,157,129,>,28,0,0,=,0
83,5,52,10,>,42,30,56,<,-26,211,223,<,-12,129,157,<,-28,0,0,=,0
0,5,20,88,<,-68,48,36,>,12,225,253,<,-28,157,129,>,28,1,29,<,-28
184,5,88,20,>,68,36,48,<,-12,253,225,>,28,129,157,<,-28,29,1,>,28
0,4,20,47,<,-27,48,36,>,12,225,255,<,-30,157,172,<,-15,1,31,<,-30
102,4,47,20,>,27,36,48,<,-12,255,225,>,30,172,157,>,15,31,1,>,30
0,4,15,19,<,-4,41,42,<,-1,213,233,<,-20,157,172,<,-15,0,0,=,0
19,4,19,15,>,4,42,41,>,1,233,213,>,20,172,157,>,15,0,0,=,0
0,4,11,10,>,1,30,56,<,-26,213,223,<,-10,172,157,>,15,0,0,=,0
62,4,10,11,<,-1,56,30,>,26,223,213,>,10,157,172,<,-15,0,0,=,0
0,4,45,81,<,-36,57,44,>,13,259,297,<,-38,157,172,<,-15,97,135,<,-38
82,4,81,45,>,36,44,57,<,-13,297,259,>,38,172,157,>,15,135,97,>,38
0,3,11,16,<,-5,30,56,<,-26,213,297,<,-84,172,225,<,-53,0,70,<,-70
88,3,16,11,>,5,56,30,>,26,297,213,>,84,225,172,>,53,70,0,>,70
0,3,19,19,=,0,41,42,<,-1,285,233,>,52,225,172,>,53,47,0,>,47
52,3,19,19,=,0,42,41,>,1,233,285,<,-52,172,225,<,-53,0,47,<,-47
0,3,43,81,<,-38,57,44,>,13,325,297,>,28,225,172,>,53,163,135,>,28
116,3,81,43,>,38,44,57,<,-13,297,325,<,-28,172,225,<,-53,135,163,<,-28
0,2,19,77,<,-58,41,42,<,-1,285,332,<,-47,225,213,>,12,47,94,<,-47
86,2,77,19,>,58,42,41,>,1,332,285,>,47,213,225,<,-12,94,47,>,47
0,2,29,43,<,-14,44,57,<,-13,286,325,<,-39,213,225,<,-12,124,163,<,-39
86,2,43,29,>,14,57,44,>,13,325,286,>,39,225,213,>,12,163,124,>,39
0,1,29,27,>,2,44,57,<,-13,286,369,<,-83,213,285,<,-72,124,207,<,-83
83,1,27,29,<,-2,57,44,>,13,369,286,>,83,285,213,>,72,207,124,>,83
0,5,0,0,=,0,59,54,>,5,59,54,>,5,0,0,=,0,0,0,=,0
9,5,0,0,=,0,54,59,<,-5,54,59,<,-5,0,0,=,0,0,0,=,0
0,5,0,0,=,0,32,42,<,-10,32,42,<,-10,0,0,=,0,0,0,=,0
29,5,0,0,=,0,42,32,>,10,42,32,>,10,0,0,=,0,0,0,=,0
0,5,0,0,=,0,35,37,<,-2,35,37,<,-2,0,0,=,0,0,0,=,0
48,5,0,0,=,0,37,35,>,2,37,35,>,2,0,0,=,0,0,0,=,0
0,5,0,0,=,0,36,40,<,-4,36,40,<,-4,0,0,=,0,0,0,=,0
68,5,0,0,=,0,40,36,>,4,40,36,>,4,0,0,=,0,0,0,=,0
0,5,0,0,=,0,43,48,<,-5,43,48,<,-5,0,0,=,0,0,0,=,0
24,5,0,0,=,0,48,43,>,5,48,43,>,5,0,0,=,0,0,0,=,0
0,4,0,66,<,-66,36,40,<,-4,36,138,<,-102,0,32,<,-32,0,80,<,-80
112,4,66,0,>,66,40,36,>,4,138,36,>,102,32,0,>,32,80,0,>,80
0,4,28,0,>,28,59,54,>,5,119,54,>,65,32,0,>,32,20,0,>,20
38,4,0,28,<,-28,54,59,<,-5,54,119,<,-65,0,32,<,-32,0,20,<,-20
0,4,0,78,<,-78,37,35,>,2,37,145,<,-108,0,32,<,-32,0,41,<,-41
7,4,78,0,>,78,35,37,<,-2,145,37,>,108,32,0,>,32,41,0,>,41
0,4,15,0,>,15,48,43,>,5,95,43,>,52,32,0,>,32,0,0,=,0
44,4,0,15,<,-15,43,48,<,-5,43,95,<,-52,0,32,<,-32,0,0,=,0
0,3,28,75,<,-47,59,54,>,5,119,165,<,-46,32,36,<,-4,20,66,<,-46
93,3,75,28,>,47,54,59,<,-5,165,119,>,46,36,32,>,4,66,20,>,46
0,3,23,15,>,8,43,48,<,-5,102,95,>,7,36,32,>,4,1,0,>,1
24,3,15,23,<,-8,48,43,>,5,95,102,<,-7,32,36,<,-4,0,1,<,-1
0,3,13,78,<,-65,37,35,>,2,86,145,<,-59,36,32,>,4,0,41,<,-41
71,3,78,13,>,65,35,37,<,-2,145,86,>,59,32,36,<,-4,41,0,>,41
0,2,23,15,>,8,43,48,<,-5,102,182,<,-80,36,119,<,-83,1,81,<,-80
31,2,15,23,<,-8,48,43,>,5,182,102,>,80,119,36,>,83,81,1,>,80
0,2,13,65,<,-52,37,35,>,2,86,219,<,-133,36,119,<,-83,0,115,<,-115
35,2,65,13,>,52,35,37,<,-2,219,86,>,133,119,36,>,83,115,0,>,115
0,1,14,65,<,-51,37,35,>,2,153,219,<,-66,102,119,<,-17,49,115,<,-66
66,1,65,14,>,51,35,37,<,-2,219,153,>,66,119,102,>,17,115,49,>,66
0,10,0,0,=,0,34,58,<,-24,34,58,<,-24,0,0,=,0,0,0,=,0
19,10,0,0,=,0,58,34,>,24,58,34,>,24,0,0,=,0,0,0,=,0
0,10,0,0,=,0,45,58,<,-13,45,58,<,-13,0,0,=,0,0,0,=,0
22,10,0,0,=,0,58,45,>,13,58,45,>,13,0,0,=,0,0,0,=,0
0,10,0,0,=,0,34,56,<,-22,34,56,<,-22,0,0,=,0,0,0,=,0
22,10,0,0,=,0,56,34,>,22,56,34,>,22,0,0,=,0,0,0,=,0
0,10,0,0,=,0,37,57,<,-20,37,57,<,-20,0,0,=,0,0,0,=,0
36,10,0,0,=,0,57,37,>,20,57,37,>,20,0,0,=,0,0,0,=,0
0,10,0,0,=,0,45,50,<,-5,45,50,<,-5,0,0,=,0,0,0,=,0
